id,date,area,setup_type,data_years,timeframe,symbols_roots,strategy_filters,risk_sizing,entry_rule,exit_rule,slippage,trades,sum_r,max_dd_r,avg_r,win_rate,pnl,return_pct,max_concurrent,live_compatible,question,setup,result,verdict,evidence,next_step
EXP-LEGACY-001,pre-ledger,Build/Playbook/Prop Sim,old_harmonic_pattern,unknown,1m,unknown,"P4 era playbook/build rules; prop firm simulation rules",unknown,C+1 pattern entry,template/prop simulation exits,unknown,,,,,,,,,unknown,"Could original pattern/playbook workflow produce useful prop-firm style results?","P4 era build/playbook/sim testing UI; prop summaries; raw rows","Useful enough to continue; early records scattered and need DB backfill",NEEDS_VALIDATION,Legacy DB/UI artifacts,Extract old sim/build/playbook rows into ledger
EXP-LEGACY-002,pre-ledger,UI/DB provenance,infrastructure,,,,DB-backed simulation UI sections,,,,,,,,,,,,,yes,"Should simulation testing be DB-backed instead of UI-computed?","DB-backed overview sections and stored runner summaries","Direction accepted; UI should display stored DB results",DATA_ONLY,UI and runner changes,Keep enforcing DB-backed sections
EXP-LEGACY-003,pre-ledger,Trends,market_data,unknown,"5m;15m;1h",all available roots,Higher-timeframe trend tables joined after sim,,,,,,,,,,,,,yes,"Add higher timeframe trend context without rerunning pattern scanner?","5m 15m 1h trend tables joined to sim trades","Useful as separate market-data layer",DATA_ONLY,Trend table/UI work,Validate trend correlation on future runs
EXP-20260529-001,2026-05-29,Market wave/AI trades,trend_detect,2026,mixed,unknown,aimv market-wave/meta filters,unknown,market-wave model entries,model/template exits,slippage stress became concern,,,,,,,,,research_sim,"Can market-wave meta models pick profitable 2026 trades after slippage?","aimv-market-wave and aimv-mwmeta series","Promising but tiny distances/slippage realism became major issue",NEEDS_VALIDATION,rust_sr/abcd/model_registry/aimv-*,Keep slippage-aware filtering
EXP-20260529-002,2026-05-29,Execution quality,execution_filter,2026,mixed,unknown,"execution-quality floor; 3+3 tick stress",tick-distance/risk floor,existing model entries,existing exits,3 ticks entry + 3 ticks exit stress,,,,,,,,,research_sim,"Do tiny trades survive realistic slippage?","Execution-quality floor and 3+3 tick stress","Tiny target/stop trades were not realistic enough",PROMISING,aimv-mwmeta-v3-v7-twin-xq*,Use minimum move/risk filters
EXP-20260530-001,2026-05-30,Candle wave baseline,trend_detect,2026,2m,all available roots,xtight t014 rd3 en4,model R sizing,candle-wave entry,candle-wave exit,slippage-aware later,402,222.24,5.02,0.553,,,,,research_sim,"What is the protected 2m candle-wave baseline?","aicw-mtf-eg1-xtight-t014-rd3-en4-v1-2m-2026","402 trades; 222.24R; 0.553R avg; 5.02R DD",PROMISING,2026-05-30-candle-wave-edge.md,Protect as historical baseline
EXP-20260530-002,2026-05-30,Candle wave tuning,trend_detect,"2025;2026",2m,all available roots,"threshold 0.01425; loss brake after 3 trades if day <= -2.5R",model R sizing,candle-wave entry,candle-wave exit,slippage-aware later,397,230.05,5.02,0.579,,,,,research_sim,"Does threshold/loss brake improve baseline?","aicw-research-t01425-lb25allm3-v1-2m-2026","2026: 397 trades; 230.05R; 5.02R DD. 2025 WF: 106.35R / 19.32R DD",PROMISING,2026-05-30-candle-wave-edge.md,Retest on full history
EXP-20260530-003,2026-05-30,Energy cap,trend_detect,"2025;2026",2m,all available roots,"rd3 en5x06; stronger 5th energy slot",model R sizing,candle-wave entry,candle-wave exit,slippage-aware later,410,235.15,5.02,0.574,43.41%,,,,research_sim,"Does a stronger 5th energy slot help?","aicw-research-t014-rd3en5x06-v1-2m-2026","235.15R in 2026 but 2025 WF slipped",NEEDS_VALIDATION,2026-05-30-candle-wave-edge.md,Do not promote without more years
EXP-20260530-004,2026-05-30,Liquidity/outlier,execution_filter,2026,2m,"all available roots; SI removed in audit",SIJ6 liquidity/outlier removal,model R sizing,candle-wave entry,candle-wave exit,liquidity stress,,,,,,,,,research_sim,"Was huge SIJ6 winner tradable/reliable?","SIJ6 liquidity audit","Removing SI dropped robust 2026 from 230.05R to 98.92R",NEEDS_VALIDATION,2026-05-30-candle-wave-edge.md,Keep liquidity filters in validation
EXP-20260531-001,2026-05-31,Data,market_data,"2020-current",1m,priority tradable roots,Databento candle load/update,,,,,,,,,,,,,yes,"Add Databento candles and tradable roots?","1m candle updates; priority roots; 2020 add-on","More data available; derived timeframe consistency needed",DATA_ONLY,Databento load logs,Rebuild derived candles before full-history tests
EXP-20260601-001,2026-06-01,Oracle trend starts,trend_detect,"2024;2025;2026",mixed,unknown,oracle trend-start labels and stage experiments,,,,,,,,,,,,,research_sim,"Can oracle trend starts train Stage 1/Stage 2?","CatBoost LightGBM XGBoost oracle experiments","Architecture formed; needed caching and validation design",PROMISING,aicw-oracle-start-*,Standardize walk-forward runs
EXP-20260603-001,2026-06-03,CNN,trend_detect,2025,mixed,NQ,CNN/tower experiments around NQ and all timeframes,,,,,,,,,,,,,not_yet,"Should CNN be a major live scanner?","CNN/tower experiments around NQ/all timeframes","Interesting but too slow/scaling-risky as first scanner",REJECT,CNN model folders,Use CNN only as later optional confirmation
EXP-20260604-001,2026-06-04,Model hierarchy,trend_detect,"2024;2025;2026",mixed,NQ then broader roots,L1/L2/L3/L4/L5 specialist-manager structure,,,,,,,,,,,,,research_sim,"Compare specialist/manager levels and Cat/Light/XGB blocks?","L1 L2 L3 L4 L5 manager experiments","Complexity grew quickly; 2m single-timeframe path preferred",NEEDS_VALIDATION,aicw-oracle-start-level*,Keep simpler 2m path
